time_stamp,index_no,City_long,City_lat,long,lat,name,city,humidity,temperature,voc,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pressure
2024-03-22 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,61.032,75.914,,0.1215,0.035,0.208,0.3289999999999999,0.284,0.374,1.2515,1.411,1.092,
2024-03-23 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,64.019,77.832,,0.1905,0.214,0.167,0.5845,0.692,0.477,1.553,1.838,1.268,
2024-03-24 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,63.968,80.485,,0.2405,0.291,0.19,0.698,0.891,0.505,1.5779999999999998,1.958,1.198,
2024-03-25 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,63.115,80.464,,1.2745,1.407,1.142,2.276,2.603,1.949,3.566,4.157,2.975,
2024-03-26 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,56.714,78.904,,0.514,0.562,0.466,1.1805,1.356,1.005,2.5225,2.971,2.074,
2024-03-27 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,57.874,81.059,,1.01,1.096,0.924,2.0175,2.247,1.788,3.7985,4.325,3.272,
2024-03-28 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,60.788,81.536,,2.0785,2.236,1.921,2.9055,3.21,2.601,3.8085,4.302,3.315,
2024-03-29 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,57.138,84.804,,1.6364999999999998,1.638,1.635,2.8245,3.033,2.616,4.4765,4.969,3.984,
2024-03-30 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,56.111,85.278,,5.827500000000001,6.121,5.534,8.339500000000001,8.894,7.785,11.597,12.605,10.589,
2024-03-31 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,56.201,85.441,,5.9705,6.151,5.79,8.3595,8.795,7.924,10.6435,11.512,9.775,
2024-04-01 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,58.168,85.123,,6.63,6.979,6.281,8.856,9.526,8.186,10.44,11.524,9.356,
2024-04-02 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,62.827,84.651,,8.4255,8.653,8.198,10.773,11.35,10.196,12.1365,13.102,11.171,
2024-04-03 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,57.963,87.007,,9.457999999999998,9.876,9.04,12.1215,12.857,11.386,13.8175,15.018,12.617,
2024-04-04 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,58.085,87.229,,13.019,13.566,12.472,17.003,17.956,16.05,19.3415,20.934,17.749,
2024-04-05 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,54.801,81.427,,3.095,3.003,3.187,4.568,4.678,4.458,6.614000000000001,7.102,6.126,
2024-04-06 21:00:00,186339.0,-48.991111,-24.657222,-49.033,-24.779,Adrianopolis,Adrianopolis,62.591,77.652,,0.7835,0.861,0.706,1.604,1.844,1.364,3.121,3.649,2.593,
