time_stamp,index_no,City_long,City_lat,long,lat,name,city,humidity,temperature,voc,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pressure
2024-03-22 21:00:00,187805.0,-52.465278,-23.073056,-52.422,-23.0597,Paranavai-Centro,Paranavai,50.7595,83.98349999999999,107.04750000000001,0.49874999999999997,0.4675,0.53,0.814,0.7889999999999999,0.839,1.2422499999999999,1.2690000000000001,1.2155,
2024-03-23 21:00:00,187815.0,-52.465278,-23.073056,-52.4331,-23.0578,,,52.931,82.781,63.288,0.451,0.442,0.46,0.755,0.756,0.754,1.2040000000000002,1.201,1.207,
2024-03-24 21:00:00,187805.0,-52.465278,-23.073056,-52.422,-23.0597,Paranavai-Centro,Paranavai,51.403499999999994,88.749,98.4945,3.0715000000000003,3.076,3.067,4.0915,4.1105,4.0725,4.91025,4.9825,4.838,
2024-03-25 21:00:00,187805.0,-52.465278,-23.073056,-52.422,-23.0597,Paranavai-Centro,Paranavai,47.0095,90.71799999999999,102.768,3.939,3.917,3.961,5.1895,5.207,5.172,6.171749999999999,6.246,6.0975,
2024-03-26 21:00:00,187805.0,-52.465278,-23.073056,-52.422,-23.0597,Paranavai-Centro,Paranavai,49.0715,87.88300000000001,98.4345,3.33375,3.318,3.3495,4.3095,4.311,4.308,5.0142500000000005,5.0760000000000005,4.952500000000001,
2024-03-27 21:00:00,187805.0,-52.465278,-23.073056,-52.422,-23.0597,Paranavai-Centro,Paranavai,53.247,85.12700000000001,84.844,6.312,6.3245000000000005,6.2995,7.9755,8.033,7.918000000000001,8.982,9.145,8.818999999999999,
2024-03-28 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,47.189,89.546,91.639,3.3485,3.243,3.454,4.1935,4.102,4.285,4.678,4.718,4.638,
2024-03-29 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,52.622,85.411,93.758,3.863,3.871,3.855,4.814,4.878,4.75,5.7895,5.957,5.622,
2024-03-30 21:00:00,,,,,,,,,,,,,,,,,,,,
2024-03-31 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,54.465,90.492,116.49,2.9485,2.91,2.987,3.811,3.796,3.826,4.504,4.67,4.338,
2024-04-01 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,51.841,90.436,101.959,5.092499999999999,5.036,5.149,6.3,6.29,6.31,6.881500000000001,7.049,6.714,
2024-04-02 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,44.42,96.104,105.033,5.8315,5.728,5.935,7.2955,7.214,7.377,7.9835,8.101,7.866,
2024-04-03 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,44.662,95.542,100.473,8.206,8.07,8.342,9.8155,9.728,9.903,10.7315,10.868,10.595,
2024-04-04 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,40.721,97.025,111.06,11.5265,11.309,11.744,13.9225,13.771,14.074,15.0205,15.195,14.846,
2024-04-05 21:00:00,187795.0,-52.465278,-23.073056,-52.4109,-23.0616,Paranavai-Centro,Paranavai,43.989,94.244,147.727,16.8525,16.535,17.17,20.91,20.795,21.025,22.4595,22.918,22.001,
2024-04-06 21:00:00,,,,,,,,,,,,,,,,,,,,
