City,Sensors,Lat,Long,Start_date,End_date,No_of_days,Valid_days,last_pm2.5,last_measurement,max_PM1.0,mean_PM1.0,days_above_aqg_PM1.0,max_conc_days_PM1.0,max_PM2.5,mean_PM2.5,days_above_aqg_PM2.5,max_conc_days_PM2.5,max_PM10.0,mean_PM10.0,days_above_aqg_PM10.0,max_conc_days_PM10.0,max_VOC,mean_VOC,max_Temperatura,mean_Temperatura,max_Umidade,mean_Umidade,max_Pressão,mean_Pressão,perc_days_above_aqg_PM2.5,perc_days_above_aqg_PM10.0
Adrianopolis,['186339'],-24.657222,-48.991111,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,172 days,2.405,2024-10-03 17:27:16.000000000,39.946,10.155760115606935,43,9,61.8945,14.287947976878613,59,10,75.36449999999999,17.54323410404624,39,8,,,88.339,75.2301445086705,76.249,62.082473988439304,1003.485,995.8983111111113,30.569948186528496,20.207253886010363
Campo Mourao,"['187777', '187803']",-24.045556,-52.383056,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,193 days,39.57,2024-10-03 17:06:32.000000000,101.07925,13.951471649484537,56,18,161.61725,18.494979381443297,68,18,184.58325000000002,21.580996134020616,45,17,124.9165,88.64949742268043,93.821,79.18286340206186,71.7895,44.49071134020619,956.462,949.6400217391304,35.233160621761655,23.316062176165804
Curitiba,"['175407', '90875', '92295']",-25.427778,-49.273056,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,193 days,14.111666666666666,2024-08-25 08:57:01.333333248,61.97175,16.721213917525777,92,11,96.73875,23.600815721649486,119,18,105.273,27.01084493127148,86,10,198.469,102.60263402061855,85.033,33.41656958762887,74.329,55.96591838487973,920.4875,914.4490923913044,61.6580310880829,44.559585492227974
Foz do Iguacu,['187805'],-25.547778,-54.588056,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,179 days,6.63,2024-10-03 17:26:44.000000000,53.3535,14.590300000000003,67,14,75.224,19.671505555555562,100,18,83.299,22.595441666666666,58,8,148.748,86.48746111111112,99.231,80.90387777777778,63.374,49.35675,1008.058,996.616641025641,51.813471502590666,30.05181347150259
Francisco Beltrao,['187807'],-26.081111,-53.055,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,193 days,1670.74,2024-10-03 17:27:43.000000000,86.524,15.425342783505156,73,10,132.24200000000002,21.648471649484534,101,18,141.8815,24.51498195876288,58,13,233.37,132.62734536082476,89.658,75.02288659793815,78.479,56.37365463917526,953.925,946.096152173913,52.331606217616574,30.05181347150259
Guarapuava,"['187823', '112']",-25.395278,-51.458056,"25/11/2023, 00:00:00","20/08/2024, 00:00:00",269 days,195 days,27.9325,2024-06-30 13:38:32.500000000,47.4762962962963,11.176712052717448,44,8,70.75868312757201,15.545217718751966,83,12,76.97024691358024,17.46541486366975,40,8,211.2638202247191,125.99130497178389,96.5663430420712,77.58667978095369,67.56104252400549,50.75460651410704,908.8076438356164,902.4103984905605,30.855018587360593,14.869888475836431
Londrina,"['187775', '187821']",-23.310278,-51.162778,"14/05/2024, 21:00:00","01/10/2024, 21:00:00",140 days,140 days,22.04,2024-10-03 17:28:06.500000000,48.156,13.132,36,14,73.62275,18.927258865248227,73,18,78.07425,21.614666666666665,35,14,136.552,81.48268085106383,100.6235,80.75896099290779,70.201,42.5061914893617,959.697,953.3510869565217,52.142857142857146,25.0
Marechal Candido Rondon,"['187779', '187781']",-24.556111,-54.056667,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,193 days,20.975,2024-10-03 17:27:36.500000000,81.2315,12.709859536082472,45,13,130.985,17.5977074742268,67,13,143.69400000000002,20.300625,40,13,165.34,83.48185051546392,103.0,83.04080927835051,68.917,42.433847938144325,979.178,969.0858804347826,34.715025906735754,20.72538860103627
Medianeira,['187787'],-25.295278,-54.093889,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,140 days,16.9,2024-10-03 17:28:01.000000000,153.30450000000002,15.187514184397163,38,10,167.63350000000003,20.737666666666666,60,13,174.83599999999998,23.455595744680853,37,10,198.104,107.00828368794328,101.086,81.64917021276595,64.466,41.552404255319146,978.364,968.187054347826,31.088082901554404,19.170984455958546
Paranavai,"['187795', '187815']",-23.073056,-52.465278,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,123 days,37.82,2024-10-03 17:27:44.000000000,51.568,10.557274193548386,21,5,72.286,14.228016129032257,30,5,79.073,16.39283870967742,16,5,337.075,150.07963333333336,97.025,83.9993761904762,77.139,46.52269523809524,972.946,966.7955000000001,15.544041450777202,8.290155440414509
Ponta Grossa,"['187773', '187799']",-25.095,-50.161944,"28/03/2024, 21:00:00","01/10/2024, 21:00:00",187 days,187 days,4.545,2024-07-29 16:05:35.500000000,68.423,14.215989361702126,58,9,100.5965,20.255751329787234,98,18,111.804,22.84930585106383,49,9,114.719,80.66743085106383,91.629,77.05365691489361,74.683,49.969082446808514,921.059,915.1238043478262,52.406417112299465,26.203208556149733
Sao Mateus do Sul,"['187791', '187801']",-25.874167,-50.382778,"22/03/2024, 21:00:00","01/10/2024, 21:00:00",193 days,193 days,13.7475,2024-10-03 17:28:11.000000000,55.322,16.765664948453608,88,12,90.12774999999999,23.714367268041237,127,21,98.63875,27.46998324742268,82,12,102.551,81.54844072164948,86.8195,74.68785309278351,69.511,51.67713402061857,936.4359999999999,930.0568260869566,65.80310880829016,42.487046632124354
